Seed,Feature_Type,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_Input_Error,Cosine_Sim_Input_Combined,Cosine_Sim_Error_Combined,Top_k_Indices
0,sae_input,0.007897883951287725,1.0,0.9999999999999999,1.577899630682227,0.724,0.7927317573194952,2.4967594146728516,0.5106747150421143,0.5118992328643799,0.9979822039604187,
0,sae_diff,0.011155298396216784,1.0,1.0,1.4035364302815347,0.724,0.7660324171952079,2.9122161865234375,0.5106747150421143,0.5118992328643799,0.9979822039604187,
0,sae_acts_post,0.062720180187016,0.999,0.999998999935996,1.2025764749258805,0.692,0.7516496892818245,2.576296806335449,,,,
0,sae_acts_and_error,0.011105875494746672,1.0,1.0,1.3890016310828368,0.718,0.7686430905246973,2.9080116748809814,0.5106747150421143,0.5118992328643799,0.9979822039604187,"[4810, 3516, 1304, 2755, 14034, 10906]"
1,sae_input,0.008189722546443734,1.0,0.9999999999999999,1.7926018237653647,0.69,0.7570453633079086,2.5276949405670166,0.5074431300163269,0.5110214948654175,0.9970051050186157,
1,sae_diff,0.011370160076382736,1.0,1.0,1.2232580142439082,0.728,0.7839261340826976,2.9323389530181885,0.5074431300163269,0.5110214948654175,0.9970051050186157,
1,sae_acts_post,0.06359340993158455,0.9995,1.0,1.166765747880143,0.714,0.7500602167804094,2.653620958328247,,,,
1,sae_acts_and_error,0.011394996546132822,1.0,1.0,1.2300702364747327,0.712,0.7819510236852669,2.9354007244110107,0.5074431300163269,0.5110214948654175,0.9970051050186157,"[15766, 14132, 5575, 13716, 2978, 10906]"
2,sae_input,0.008195641667684123,1.0,1.0,1.8371276899318845,0.704,0.7632648489503328,2.5351219177246094,0.5007827281951904,0.5040367245674133,0.9982529878616333,
2,sae_diff,0.011641747573117055,1.0,1.0,1.3466247922131138,0.704,0.7635368663594471,2.9594321250915527,0.5007827281951904,0.5040367245674133,0.9982529878616333,
2,sae_acts_post,0.06234697366965773,0.9985,1.0,1.0938077419163015,0.688,0.7553283410138248,2.5595383644104004,,,,
2,sae_acts_and_error,0.011670254692992207,1.0,1.0,1.3662693379149025,0.698,0.7602406554019456,2.9620485305786133,0.5007827281951904,0.5040367245674133,0.9982529878616333,"[14132, 3032, 3935, 15077, 9973, 9050]"
3,sae_input,0.007555452485727482,1.0,1.0,1.8333704054074156,0.696,0.7569511179447754,2.456864833831787,0.5175149440765381,0.5203715562820435,0.9956055879592896,
3,sae_diff,0.010881658501018989,1.0,1.0,1.5018187312985258,0.694,0.7424402588250367,2.8796093463897705,0.5175149440765381,0.5203715562820435,0.9956055879592896,
3,sae_acts_post,0.06269869117963879,0.999,0.9999969998079877,1.1467446093948306,0.694,0.7461720802101351,2.534623146057129,,,,
3,sae_acts_and_error,0.010774585060473029,1.0,1.0,1.4762054479748095,0.706,0.7482542123134088,2.8691422939300537,0.5175149440765381,0.5203715562820435,0.9956055879592896,"[13354, 14132, 4946, 2681, 10403, 9666]"
4,sae_input,0.008100929161087444,1.0,1.0,1.5867820196579374,0.712,0.7660565883652783,2.5109126567840576,0.5256038904190063,0.5290666222572327,0.9961615800857544,
4,sae_diff,0.011093027466539463,1.0,1.0,1.4937475861117935,0.698,0.7381146819106179,2.895233392715454,0.5256038904190063,0.5290666222572327,0.9961615800857544,
4,sae_acts_post,0.062143749429378385,0.9995,1.0,1.1526474924962509,0.708,0.7407887784022674,2.6021053791046143,,,,
4,sae_acts_and_error,0.01102390433473591,1.0,0.9999999999999999,1.4798758287840041,0.7,0.7402123264639477,2.8882291316986084,0.5256038904190063,0.5290666222572327,0.9961615800857544,"[14132, 13003, 9666, 5942, 3032, 4946]"
5,sae_input,0.007913492129693538,1.0,1.0,1.7026242795313307,0.718,0.7597734073706615,2.5009493827819824,0.5249120593070984,0.5286225080490112,0.9961916208267212,
5,sae_diff,0.011003922295082904,1.0,1.0,1.5611784669887303,0.69,0.7443311836904514,2.89571475982666,0.5249120593070984,0.5286225080490112,0.9961916208267212,
5,sae_acts_post,0.062172641059694285,0.9995,0.999998999991,1.3284546055928022,0.694,0.7280248355763229,2.600010395050049,,,,
5,sae_acts_and_error,0.010983981644203038,1.0,1.0,1.5687716492856232,0.694,0.7435310684738603,2.892765760421753,0.5249120593070984,0.5286225080490112,0.9961916208267212,"[13354, 5575, 14132, 16370, 8199, 11090]"
6,sae_input,0.007433205813428877,1.0,1.0,1.8250413082270516,0.702,0.7449116743471582,2.4353246688842773,0.5266380906105042,0.5290180444717407,0.99578857421875,
6,sae_diff,0.011044211591273879,1.0,1.0,1.2789969281194462,0.722,0.7711373527905786,2.9001266956329346,0.5266380906105042,0.5290180444717407,0.99578857421875,
6,sae_acts_post,0.05997722925741775,0.9985,1.0,1.2374903533675883,0.676,0.7287826420890937,2.4625205993652344,,,,
6,sae_acts_and_error,0.011007291552698561,1.0,0.9999999999999999,1.2950481357784982,0.71,0.768273169482847,2.8956007957458496,0.5266380906105042,0.5290180444717407,0.99578857421875,"[10403, 568, 15077, 3935, 10639, 8161]"
7,sae_input,0.0076525105407497076,1.0,1.0,2.059472496534245,0.686,0.7260298181350815,2.460679769515991,0.5201770663261414,0.5225115418434143,0.9978893995285034,
7,sae_diff,0.011194140101468523,1.0,1.0,1.6233140379384294,0.672,0.7167759141443353,2.911153554916382,0.5201770663261414,0.5225115418434143,0.9978893995285034,
