Seed,Feature_Type,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_Input_Error,Cosine_Sim_Input_Combined,Cosine_Sim_Error_Combined,Top_k_Indices
0,sae_input,0.0664501170331595,0.997,0.9999577439151237,1.4585814301562423,0.709,0.7553763871960998,6.410881996154785,0.5968723893165588,0.6542171835899353,0.891365110874176,
0,sae_diff,0.0672618865160818,0.99775,0.9999794970475748,1.5296173443585417,0.703,0.7421418949259093,6.429258823394775,0.5968723893165588,0.6542171835899353,0.891365110874176,
0,sae_acts_post,0.521166401157124,0.7355,0.8217038253508506,0.5602436270933339,0.729,0.7838820642760921,0.2028099000453949,,,,
0,sae_acts_and_error,0.06469098207807267,0.99775,0.9999929989918549,1.5236832301153256,0.703,0.7409832253512092,6.4128265380859375,0.5968723893165588,0.6542171835899353,0.891365110874176,"[12583, 1191, 1135, 6256, 8409, 8035, 11841, 11187, 815, 12799, 8418, 6669, 4491, 2849, 1301, 11344, 3971, 10297, 15249, 10837, 7135, 12126, 6532, 15721, 4501, 14305, 6936, 10302, 7161, 9672, 14348, 5060, 12328, 12330, 14767, 16182, 9326, 2086, 9496, 4425, 7029, 5181, 12013, 16164, 14418, 12919, 2077, 861, 354, 14065, 12386, 14593, 9252, 2915, 3141, 6347, 15816, 11471, 4581, 6007, 2993, 9085, 3019, 12955, 1778, 5369, 7886, 6837, 13169, 14553, 11009, 7659, 12073, 9290, 4302, 1842, 1655, 807, 12025, 107, 15521, 10066, 5846, 1775, 14087, 6093, 6607, 745, 12427, 6638, 12939, 4983, 8772, 956, 8699, 9787, 7733, 8317, 15569, 3484]"
1,sae_input,0.06413994340680533,0.99775,0.9999682493570494,1.5074271345806438,0.696,0.7502070670897371,6.359926223754883,0.5765637755393982,0.632781982421875,0.8929701447486877,
1,sae_diff,0.06621630897314151,0.998,0.9999849996962438,1.54020619945497,0.699,0.7459856993665948,6.433162212371826,0.5765637755393982,0.632781982421875,0.8929701447486877,
1,sae_acts_post,0.5174385096815244,0.74475,0.8246249486552104,0.5801276885714395,0.701,0.7614307035479495,0.2047862857580185,,,,
1,sae_acts_and_error,0.06258183401533433,0.99875,0.9999797495899292,1.4879342192214413,0.712,0.7580416054801755,6.379035949707031,0.5765637755393982,0.632781982421875,0.8929701447486877,"[12583, 1191, 9496, 11344, 3971, 6256, 15721, 8035, 11841, 1135, 10837, 8409, 7029, 4491, 8418, 6532, 4425, 7135, 10302, 2849, 6669, 15249, 12799, 2086, 5181, 1301, 6936, 7161, 9252, 12790, 12330, 14305, 6110, 6124, 4501, 12126, 14348, 14065, 5060, 4581, 11471, 12328, 16182, 7659, 2915, 9084, 12386, 4302, 14593, 815, 9920, 3019, 6007, 956, 354, 12616, 15816, 15885, 9290, 9085, 16016, 1633, 13083, 6347, 10265, 2993, 12073, 9326, 3141, 10297, 8699, 14553, 1655, 3868, 9828, 1778, 11187, 12427, 9993, 6607, 12025, 1775, 12955, 13019, 15521, 9848, 13226, 16164, 10066, 14418, 14087, 9672, 14015, 14694, 15098, 1194, 1842, 7886, 5406, 15221]"
2,sae_input,0.06756992735195,0.99775,0.9999632498529993,1.4595411367458613,0.708,0.7587045570916539,6.4101881980896,0.6031443476676941,0.6468331217765808,0.8989813923835754,
2,sae_diff,0.06812168301403929,0.99875,0.9999942499769998,1.418510263632926,0.708,0.7599686379928315,6.494349479675293,0.6031443476676941,0.6468331217765808,0.8989813923835754,
