Seed,Feature_Type,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_Input_Error,Cosine_Sim_Input_Combined,Cosine_Sim_Error_Combined,Top_k_Indices
0,sae_input,0.023499353946628495,0.999375,0.9999992187304683,1.2558836997928993,0.7375,0.792717086834734,3.158937692642212,0.5976362824440002,0.653335690498352,0.9038588404655457,
0,sae_diff,0.023325621139514193,0.999375,0.9999992187304683,1.0022904079210984,0.6775,0.7869647859143657,3.261936902999878,0.5976362824440002,0.653335690498352,0.9038588404655457,
0,sae_acts_post,0.5560672840036175,0.73,0.8033989912247808,0.6020791346577721,0.64,0.7148359343737495,0.13937681913375854,,,,
0,sae_acts_and_error,0.022699483790014394,0.999375,0.9999992187304683,0.9832514956159654,0.7125,0.803796518607443,3.199232578277588,0.5976362824440002,0.653335690498352,0.9038588404655457,"[6836, 8098, 14122, 15974, 6105, 12854, 1044, 15499, 7656, 11620, 10120, 12051, 9753, 1855, 14305, 13395, 3351, 13220, 428, 54, 10297, 279, 7285, 3174, 26, 13618, 15864, 5906, 11083, 15850, 1098, 14327, 5149, 5350, 4146, 3539, 11719, 11150, 1515, 4346, 5331, 12130, 14346, 1314, 4261, 3168, 7660, 3016, 8342, 11883, 11984, 8760, 9907, 9884, 7123, 3345, 13323, 9871, 1061, 5770, 745, 588, 7738, 6050, 6039, 9843, 3195, 11172, 643, 1793, 9808, 7886, 4579, 3991, 11624, 400, 4952, 6720, 7769, 5549, 7174, 5167, 13656, 4986, 8632, 2371, 5157, 432, 5752, 6365, 14460, 12025, 4384, 7351, 3266, 63, 31, 64, 65, 15]"
1,sae_input,0.021386344506129792,1.0,1.0,1.2862008342202458,0.715,0.7846903165875825,3.1099965572357178,0.618973970413208,0.6749517917633057,0.9163300395011902,
1,sae_diff,0.021818684434740384,1.0,1.0,1.1439685924762577,0.695,0.7649067309382138,3.245310068130493,0.618973970413208,0.6749517917633057,0.9163300395011902,
1,sae_acts_post,0.5573822285518183,0.7225,0.7977200229435585,0.6227008937863497,0.6425,0.7048278978684943,0.1425287127494812,,,,
1,sae_acts_and_error,0.020453947618718063,1.0,1.0,1.2106545121301096,0.7075,0.7670909593030555,3.1472208499908447,0.618973970413208,0.6749517917633057,0.9163300395011902,"[6836, 6105, 8098, 15974, 10297, 11620, 3351, 12854, 14122, 428, 14305, 15499, 11719, 1044, 7656, 11150, 11883, 13220, 10120, 54, 12232, 12051, 9753, 8136, 4146, 13323, 3168, 14346, 15864, 5149, 4346, 9884, 9907, 7660, 1061, 3016, 7886, 432, 1515, 11172, 279, 12624, 5746, 7145, 5770, 12130, 10897, 643, 5906, 13618, 3345, 15446, 4261, 12010, 10130, 1098, 11624, 9871, 14327, 7285, 4384, 11949, 6768, 6498, 7895, 15245, 5752, 5167, 588, 2258, 15130, 8760, 5825, 11077, 13866, 4845, 8970, 1314, 3019, 400, 63, 31, 64, 65, 15, 32, 66, 67, 33, 68, 69, 7, 16, 34, 70, 71, 35, 72, 73, 17]"
2,sae_input,0.021787152289519714,1.0,1.0,1.4003776714579284,0.72,0.7821038935041538,3.1367454528808594,0.5944513082504272,0.654287576675415,0.9109385013580322,
2,sae_diff,0.022162192001780313,1.0,1.0,1.2027312088472704,0.735,0.7835301771594436,3.25034499168396,0.5944513082504272,0.654287576675415,0.9109385013580322,
2,sae_acts_post,0.5629116403564081,0.72125,0.7926336481427081,0.5935141224129681,0.6725,0.7422930637573817,0.1381951868534088,,,,
2,sae_acts_and_error,0.020442923927342323,1.0,1.0,1.1543872208544865,0.7275,0.7991942748473625,3.136819362640381,0.5944513082504272,0.654287576675415,0.9109385013580322,"[6836, 8098, 6105, 14122, 15499, 15974, 7656, 12854, 15130, 14305, 11150, 12051, 13395, 54, 1044, 11083, 5906, 5350, 11620, 428, 1061, 3168, 14327, 10297, 3351, 5149, 1098, 4261, 11883, 5770, 12624, 14346, 8342, 5331, 3174, 9907, 6498, 8760, 10120, 1515, 2299, 279, 4346, 9884, 90, 9210, 1721, 11172, 9753, 13220, 6365, 13323, 11077, 1314, 3016, 9843, 15864, 7738, 12130, 13656, 7285, 13618, 7660, 27, 11624, 14460, 3345, 2371, 2, 2737, 4579, 3991, 4642, 432, 4146, 643, 400, 7769, 6720, 5167, 8834, 15446, 6768, 1067, 12025, 10130, 8034, 10897, 63, 31, 64, 65, 15, 32, 66, 67, 33, 68, 69, 7]"
3,sae_input,0.022822011807054246,0.999375,0.9999992187451172,1.344675019540179,0.73,0.7785778577857785,3.1313412189483643,0.5909988880157471,0.6455414295196533,0.9128744602203369,
3,sae_diff,0.022499104853762945,0.999375,0.9999992187451172,1.1939639560521027,0.6625,0.7357985798579858,3.2213807106018066,0.5909988880157471,0.6455414295196533,0.9128744602203369,
3,sae_acts_post,0.5523269555466703,0.7275,0.8067511359445997,0.6282034426722799,0.6325,0.6964696469646965,0.13751313090324402,,,,
3,sae_acts_and_error,0.02165200545107317,0.999375,0.9999992187451171,1.0554742756279145,0.7,0.7707770777077708,3.1578378677368164,0.5909988880157471,0.6455414295196533,0.9128744602203369,"[6836, 11620, 8098, 3351, 6105, 11719, 14122, 14305, 1044, 12854, 7656, 15130, 15974, 10297, 15499, 12130, 9753, 5350, 3174, 14073, 54, 11150, 428, 5331, 3539, 15864, 11162, 1098, 12624, 11883, 5770, 11083, 10134, 2299, 12051, 4346, 15850, 7660, 1061, 14346, 3168, 14327, 5167, 9884, 10120, 4261, 3345, 5752, 2450, 1314, 8342, 5149, 11172, 8632, 27, 13656, 15295, 13310, 1520, 8760, 400, 5746, 7123, 4146, 9907, 1855, 7886, 5906, 6768, 643, 2178, 15527, 5329, 8136, 3016, 16118, 13300, 10957, 4384, 309, 4579, 9843, 13220, 279, 12010, 3991, 13618, 14159, 7351, 15869, 11624, 1793, 7510, 432, 5549, 6039, 3019, 63, 31, 64]"
4,sae_input,0.020894868571558697,0.999375,0.9999992187487794,1.4408464876705092,0.67,0.7477186929673241,3.0418238639831543,0.6045740842819214,0.6577927470207214,0.9184892177581787,
4,sae_diff,0.022735711109605584,0.999375,0.9999992187487793,1.1385631087317818,0.6775,0.751068776719418,3.2166037559509277,0.6045740842819214,0.6577927470207214,0.9184892177581787,
4,sae_acts_post,0.5546776287114401,0.71875,0.8022207847199762,0.6172518548924344,0.6375,0.6985424635615891,0.14569644629955292,,,,
4,sae_acts_and_error,0.020548166606987116,0.999375,0.9999992187487792,1.1957076863464442,0.6975,0.7605190129753244,3.0830397605895996,0.6045740842819214,0.6577927470207214,0.9184892177581787,"[8098, 6836, 15974, 14305, 6105, 15499, 12854, 11719, 14122, 11620, 7656, 13395, 3351, 1044, 11150, 10297, 1721, 5331, 4146, 10120, 14327, 14346, 13618, 11883, 54, 7660, 8136, 1515, 9753, 12051, 15130, 9907, 13220, 5350, 14460, 8760, 5906, 428, 11083, 11172, 1098, 9884, 5149, 3168, 4346, 7145, 12130, 15295, 13323, 9210, 15864, 2, 2258, 3345, 5770, 3016, 4261, 1314, 279, 643, 745, 11077, 5329, 12624, 6050, 10897, 6365, 400, 2965, 5167, 7285, 6720, 13310, 2299, 13656, 12149, 14009, 4384, 12232, 1910, 6617, 6768, 7769, 63, 31, 64, 65, 15, 32, 66, 67, 33, 68, 69, 7, 16, 34, 70, 71, 35]"
5,sae_input,0.022149813962516928,0.999375,0.9999992187060522,1.3049519866673256,0.7325,0.7730457411670504,3.10725998878479,0.6112774014472961,0.6677309274673462,0.9050655364990234,
5,sae_diff,0.022663919775970442,0.999375,0.9999992187060521,1.1627668688902515,0.6725,0.761610449404464,3.2377288341522217,0.6112774014472961,0.6677309274673462,0.9050655364990234,
5,sae_acts_post,0.5562484588628724,0.719375,0.8012521016807195,0.608034904486042,0.62,0.7106395756180562,0.13527993857860565,,,,
5,sae_acts_and_error,0.021341138408824536,0.999375,0.9999992187060521,1.1627683222975826,0.69,0.7788759883895506,3.1404483318328857,0.6112774014472961,0.6677309274673462,0.9050655364990234,"[6836, 15974, 6105, 14122, 1044, 8098, 7656, 10297, 12854, 14305, 3351, 5906, 11620, 15499, 11883, 54, 4146, 428, 3174, 1098, 11719, 10120, 11150, 13618, 14346, 12130, 1721, 15130, 12232, 8496, 12398, 3539, 12051, 11083, 14327, 4261, 15864, 4346, 1314, 14073, 9907, 5331, 10897, 3266, 11172, 5167, 432, 5149, 7660, 6498, 12624, 8760, 2450, 279, 10957, 7738, 1061, 5752, 3345, 6039, 12010, 7895, 15446, 5350, 5770, 7145, 9884, 2294, 6031, 7886, 588, 2, 4579, 1515, 10130, 5746, 13866, 8342, 3168, 745, 3991, 7955, 1853, 2299, 5157, 16118, 13395, 3195, 1520, 7769, 14009, 6720, 63, 31, 64, 65, 15, 32, 66, 67]"
6,sae_input,0.022097627519677063,0.999375,0.9999992186901809,1.5280046268681415,0.7125,0.7628595028910415,3.0980305671691895,0.5893985033035278,0.6464021801948547,0.9081555604934692,
6,sae_diff,0.022450689260387402,0.999375,0.9999992186901809,1.2537920958476902,0.71,0.7646617105954794,3.2270636558532715,0.5893985033035278,0.6464021801948547,0.9081555604934692,
6,sae_acts_post,0.5569617238355036,0.721875,0.7978431161135775,0.619005189876321,0.635,0.7088933944081499,0.13808631896972656,,,,
6,sae_acts_and_error,0.02099155098946251,0.999375,0.999999218690181,1.3481526604152034,0.7025,0.7596555780831519,3.121520519256592,0.5893985033035278,0.6464021801948547,0.9081555604934692,"[6836, 10297, 6105, 14122, 15974, 7656, 12854, 54, 13395, 1721, 15499, 14305, 3351, 11620, 1044, 1061, 8098, 11883, 279, 10120, 12130, 11150, 15130, 3174, 1098, 14327, 3168, 15864, 3539, 12624, 5906, 428, 8342, 9907, 4346, 4261, 5149, 7886, 7895, 2299, 4146, 9753, 400, 9848, 2450, 643, 14460, 11172, 5157, 3345, 10431, 1314, 3016, 1515, 745, 13323, 7510, 4384, 15446, 11984, 14346, 2371, 7660, 26, 588, 12051, 10897, 1181, 13220, 4986, 5331, 11624, 12925, 14708, 9843, 3019, 16118, 8760, 7285, 13656, 6500, 5167, 4845, 1793, 8632, 6768, 14159, 10130, 63, 31, 64, 65, 15, 32, 66, 67, 33, 68, 69, 7]"
7,sae_input,0.022482669228980193,0.999375,0.9999992187194813,1.2421718846904597,0.7375,0.7875422138836773,3.134737968444824,0.5968479514122009,0.6470146775245667,0.9186414480209351,
7,sae_diff,0.022821950476482014,0.999375,0.9999992187194813,1.2006600814324555,0.7075,0.7536960600375234,3.242187976837158,0.5968479514122009,0.6470146775245667,0.9186414480209351,
7,sae_acts_post,0.5579623906332443,0.72125,0.7996273291925466,0.6060042490770621,0.6225,0.716447779862414,0.14147113263607025,,,,
7,sae_acts_and_error,0.021673429412235823,0.999375,0.9999992187194813,1.1602775135925392,0.7225,0.778136335209506,3.155743360519409,0.5968479514122009,0.6470146775245667,0.9186414480209351,"[6836, 8098, 6105, 14122, 7656, 13395, 10297, 15974, 12854, 11083, 15499, 54, 11719, 1044, 12051, 15130, 11620, 7174, 15864, 11624, 428, 1098, 4952, 13220, 14327, 12130, 5770, 14073, 14346, 11150, 5331, 7145, 9753, 12624, 4261, 1515, 2450, 432, 3351, 8760, 6498, 4986, 13618, 4346, 1721, 10120, 9907, 11883, 7660, 279, 10066, 8342, 11172, 7895, 9884, 7351, 6039, 4845, 3016, 7285, 11077, 13323, 5167, 5906, 12010, 2, 10897, 4146, 201, 1061, 7123, 10130, 3266, 2258, 3539, 745, 8632, 5218, 2178, 14305, 3991, 16118, 8834, 63, 31, 64, 65, 15, 32, 66, 67, 33, 68, 69, 7, 16, 34, 70, 71, 35]"
8,sae_input,0.02401920094147777,0.999375,0.999999218690181,1.022071044631923,0.7625,0.8116192335611123,3.207693576812744,0.5744385123252869,0.6246383190155029,0.919429361820221,
8,sae_diff,0.022152856525693244,0.999375,0.9999992186901809,1.1973836300585237,0.6875,0.7680408500413007,3.2168145179748535,0.5744385123252869,0.6246383190155029,0.919429361820221,
8,sae_acts_post,0.5677650067234356,0.711875,0.7888596158143358,0.577528080902291,0.69,0.7670646542013967,0.1361999362707138,,,,
8,sae_acts_and_error,0.02116895377625043,0.999375,0.999999218690181,1.1000786845927943,0.7225,0.7940977697679658,3.1437013149261475,0.5744385123252869,0.6246383190155029,0.919429361820221,"[6836, 8098, 11719, 14122, 10297, 15974, 6105, 12854, 1044, 11620, 7335, 15499, 11883, 10120, 3351, 54, 12130, 14305, 3266, 5350, 745, 1721, 12624, 15130, 5770, 5149, 7660, 14346, 1515, 14327, 5906, 13618, 11624, 7895, 3168, 9753, 1314, 15850, 6720, 4261, 8760, 428, 12051, 11172, 6365, 13300, 9907, 11150, 13395, 8632, 6039, 15864, 5331, 643, 4346, 3174, 10957, 5752, 1855, 9210, 6498, 4146, 13220, 5746, 9884, 5167, 7123, 8136, 14460, 2299, 8440, 8342, 6768, 7886, 4986, 2, 10897, 4384, 8834, 26, 3160, 7174, 13656, 3019, 63, 31, 64, 65, 15, 32, 66, 67, 33, 68, 69, 7, 16, 34, 70, 71]"
9,sae_input,0.021149428969361693,1.0,1.0,1.7573484642093127,0.675,0.7172847265870522,3.0829973220825195,0.5896651744842529,0.6518250703811646,0.9222425818443298,
9,sae_diff,0.02054987765849494,1.0,1.0,1.4283903730351966,0.67,0.7140917661847894,3.1723859310150146,0.5896651744842529,0.6518250703811646,0.9222425818443298,
9,sae_acts_post,0.5562658884047922,0.71,0.7983337892227735,0.6171760415780347,0.66,0.7014959145191703,0.143824502825737,,,,
9,sae_acts_and_error,0.019349804982401794,1.0,1.0,1.439517919822534,0.67,0.7241986172218731,3.0809619426727295,0.5896651744842529,0.6518250703811646,0.9222425818443298,"[6836, 8098, 14305, 14122, 6105, 11620, 11883, 11719, 15974, 1044, 12854, 15130, 15499, 7656, 5350, 10957, 3266, 12051, 3351, 15864, 12130, 5331, 1855, 10297, 12624, 9884, 3539, 54, 1314, 14327, 14346, 11172, 7886, 11984, 11150, 5149, 7660, 9907, 5752, 5906, 4261, 9753, 10120, 6031, 428, 10431, 1515, 4346, 7895, 16118, 5167, 5746, 745, 13395, 13323, 13618, 643, 7738, 6768, 7174, 1793, 7351, 1098, 13656, 7510, 309, 13220, 12232, 9848, 12398, 8342, 3991, 14460, 1721, 9210, 8760, 4986, 1910, 400, 12025, 4146, 8136, 63, 31, 64, 65, 15, 32, 66, 67, 33, 68, 69, 7, 16, 34, 70, 71, 35, 72]"
10,sae_input,0.022025417935234774,0.999375,1.0,1.5780534715924261,0.7025,0.7550330528846154,3.1122143268585205,0.6039198040962219,0.6628128290176392,0.9100050926208496,
10,sae_diff,0.022045986263952155,0.999375,0.9999992186718671,1.2829875394499646,0.685,0.7484975961538461,3.204117774963379,0.6039198040962219,0.6628128290176392,0.9100050926208496,
10,sae_acts_post,0.5535109936941293,0.72,0.8043546542154216,0.6201990146703615,0.63,0.7002453926282051,0.14505548775196075,,,,
10,sae_acts_and_error,0.02095113008257186,0.999375,0.9999999999999999,1.3006396237257298,0.695,0.7635216346153846,3.1197316646575928,0.6039198040962219,0.6628128290176392,0.9100050926208496,"[6836, 8098, 14122, 6105, 15974, 1044, 11719, 14073, 7656, 11620, 12854, 14327, 15130, 54, 10297, 11883, 11150, 12624, 3351, 428, 12051, 11083, 3168, 1515, 15499, 7660, 14305, 12130, 5149, 13220, 3539, 643, 5157, 11173, 11172, 27, 10120, 4261, 14346, 1314, 5906, 1061, 4146, 4346, 10006, 14460, 5331, 7123, 13395, 3345, 13310, 15864, 432, 9907, 8760, 7955, 13323, 3254, 9843, 7886, 12010, 11077, 5752, 11984, 1721, 4845, 10957, 15446, 1855, 309, 8136, 588, 7769, 3016, 9808, 3019, 3991, 4952, 5746, 14159, 4384, 7688, 5770, 5549, 400, 13618, 4465, 4986, 63, 31, 64, 65, 15, 32, 66, 67, 33, 68, 69, 7]"
11,sae_input,0.021428197505902604,0.999375,0.99999921875,1.518437064010022,0.6825,0.7386749999999999,3.0723650455474854,0.60649174451828,0.6609362959861755,0.9102168679237366,
11,sae_diff,0.022524876962110342,0.999375,0.99999921875,1.215196447770644,0.695,0.74775,3.2293336391448975,0.60649174451828,0.6609362959861755,0.9102168679237366,
11,sae_acts_post,0.5579474622898973,0.720625,0.7981148437500001,0.6003656022164013,0.645,0.7285499999999999,0.14456292986869812,,,,
