Seed,Feature_Type,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_Input_Error,Cosine_Sim_Input_Combined,Cosine_Sim_Error_Combined,Top_k_Indices
0,sae_input,0.023499353946628495,0.999375,0.9999992187304683,1.2558836997928993,0.7375,0.792717086834734,3.158937692642212,0.5976362824440002,0.5991995930671692,0.9927165508270264,
0,sae_diff,0.023325621139514193,0.999375,0.9999992187304683,1.0022904079210984,0.6775,0.7869647859143657,3.261936902999878,0.5976362824440002,0.5991995930671692,0.9927165508270264,
0,sae_acts_post,0.11974666458386618,0.98375,0.9986241843546089,0.9670562702060326,0.6775,0.7520008003201281,2.8291175365448,,,,
0,sae_acts_and_error,0.023436947321076956,0.999375,0.9999992187304683,1.0064658403321376,0.68,0.7878151260504201,3.2653515338897705,0.5976362824440002,0.5991995930671692,0.9927165508270264,"[7558, 11719, 11183, 15105, 7663, 14668]"
1,sae_input,0.021386344506129792,1.0,1.0,1.2862008342202458,0.715,0.7846903165875825,3.1099965572357178,0.618973970413208,0.6205559968948364,0.9984104633331299,
1,sae_diff,0.021818684434740384,1.0,1.0,1.1439685924762577,0.695,0.7649067309382138,3.245310068130493,0.618973970413208,0.6205559968948364,0.9984104633331299,
1,sae_acts_post,0.11943050957754973,0.98375,0.9992154178212684,1.00710293753962,0.6775,0.7448971906304136,2.875779628753662,,,,
1,sae_acts_and_error,0.021842284742694926,1.0,1.0,1.1488267684566775,0.695,0.7642037608897592,3.2461836338043213,0.618973970413208,0.6205559968948364,0.9984104633331299,"[4339, 14668, 7917, 14261, 185, 1115]"
2,sae_input,0.021787152289519714,1.0,1.0,1.4003776714579284,0.72,0.7821038935041538,3.1367454528808594,0.5944513082504272,0.5992887616157532,0.9947795867919922,
2,sae_diff,0.022162192001780313,1.0,1.0,1.2027312088472704,0.735,0.7835301771594436,3.25034499168396,0.5944513082504272,0.5992887616157532,0.9947795867919922,
2,sae_acts_post,0.11628726697042575,0.988125,0.9994202798907439,1.006619212888702,0.7,0.7522270043038735,2.927748680114746,,,,
2,sae_acts_and_error,0.02226637871025786,1.0,1.0,1.209770186235491,0.72,0.7815533980582524,3.2535767555236816,0.5944513082504272,0.5992887616157532,0.9947795867919922,"[1115, 89, 14690, 11719, 10776, 13853]"
3,sae_input,0.022822011807054246,0.999375,0.9999992187451172,1.344675019540179,0.73,0.7785778577857785,3.1313412189483643,0.5909988880157471,0.594749391078949,0.9889653921127319,
3,sae_diff,0.022499104853762945,0.999375,0.9999992187451172,1.1939639560521027,0.6625,0.7357985798579858,3.2213807106018066,0.5909988880157471,0.594749391078949,0.9889653921127319,
3,sae_acts_post,0.11241415902006613,0.99,0.99952734079588,1.277322786675164,0.6225,0.6757425742574257,2.8803999423980713,,,,
3,sae_acts_and_error,0.022621608048518493,0.999375,0.9999992187451171,1.2136383950865757,0.6625,0.7334983498349835,3.2235758304595947,0.5909988880157471,0.594749391078949,0.9889653921127319,"[11719, 2442, 2640, 14690, 5602, 13152]"
4,sae_input,0.020894868571558697,0.999375,0.9999992187487794,1.4408464876705092,0.67,0.7477186929673241,3.0418238639831543,0.6045740842819214,0.6085426807403564,0.9922311305999756,
4,sae_diff,0.022735711109605584,0.999375,0.9999992187487793,1.1385631087317818,0.6775,0.751068776719418,3.2166037559509277,0.6045740842819214,0.6085426807403564,0.9922311305999756,
4,sae_acts_post,0.1183755116376527,0.98625,0.9992523425817852,1.1084567798114358,0.6775,0.7249681242031051,2.7709476947784424,,,,
4,sae_acts_and_error,0.0227734323769589,0.999375,0.9999992187487793,1.1435170931980752,0.6775,0.7514437860946523,3.2176246643066406,0.6045740842819214,0.6085426807403564,0.9922311305999756,"[11719, 14690, 4339, 346, 1470, 15324]"
5,sae_input,0.022149813962516928,0.999375,0.9999992187060522,1.3049519866673256,0.7325,0.7730457411670504,3.10725998878479,0.6112774014472961,0.6175538301467896,0.989290714263916,
5,sae_diff,0.022663919775970442,0.999375,0.9999992187060521,1.1627668688902515,0.6725,0.761610449404464,3.2377288341522217,0.6112774014472961,0.6175538301467896,0.989290714263916,
5,sae_acts_post,0.12086335744820056,0.98375,0.9988913438880936,1.067893818492776,0.69,0.7239765789210288,2.7645981311798096,,,,
5,sae_acts_and_error,0.022846666596561836,0.999375,0.9999992187060522,1.1605041151595665,0.685,0.7623110799719747,3.241551399230957,0.6112774014472961,0.6175538301467896,0.989290714263916,"[11719, 216, 12155, 15105, 1410, 2442]"
6,sae_input,0.022097627519677063,0.999375,0.9999992186901809,1.5280046268681415,0.7125,0.7628595028910415,3.0980305671691895,0.5893985033035278,0.589965283870697,0.9930123090744019,
6,sae_diff,0.022450689260387402,0.999375,0.9999992186901809,1.2537920958476902,0.71,0.7646617105954794,3.2270636558532715,0.5893985033035278,0.589965283870697,0.9930123090744019,
6,sae_acts_post,0.11405652447236889,0.985,0.9993976101295255,1.2101230233728708,0.67,0.7284924031939126,2.828321933746338,,,,
