Seed,Feature_Type,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_sae_input_sae_acts_and_error_k25,Cosine_Sim_sae_input_sae_acts_and_error_k50,Cosine_Sim_sae_input_sae_acts_and_error_k150,Cosine_Sim_sae_input_sae_acts_and_error_k300,Cosine_Sim_sae_diff_sae_acts_and_error_k25,Cosine_Sim_sae_diff_sae_acts_and_error_k50,Cosine_Sim_sae_diff_sae_acts_and_error_k150,Cosine_Sim_sae_diff_sae_acts_and_error_k300,Top_k_Indices,k_value,Cosine_Sim_Input_sae_acts_and_error_k25,Cosine_Sim_Diff_sae_acts_and_error_k25,Cosine_Sim_Input_sae_acts_and_error_k50,Cosine_Sim_Diff_sae_acts_and_error_k50,Cosine_Sim_Input_sae_acts_and_error_k150,Cosine_Sim_Diff_sae_acts_and_error_k150,Cosine_Sim_Input_sae_acts_and_error_k300,Cosine_Sim_Diff_sae_acts_and_error_k300
0,sae_input,0.26595522431089097,0.925,0.9815471949298734,0.5601170099133759,0.7175,0.7970188075230092,0.5023403167724609,0.6971160769462585,0.719036877155304,0.7478629350662231,0.7476192712783813,,,,,,,,,,,,,,
0,sae_diff,0.29487441541143816,0.935,0.982405028875722,0.5589239240702617,0.7175,0.7846138455382153,0.5392142534255981,,,,,0.9475564956665039,0.9178085923194885,0.8806616067886353,0.8792908787727356,,,,,,,,,,
0,sae_acts_post,0.5560672840036175,0.73,0.8033989912247808,0.6020791346577721,0.64,0.7148359343737495,0.13937681913375854,,,,,,,,,,,,,,,,,,
0,sae_acts_and_error_k25,0.2865814718704427,0.931875,0.9820800207505187,0.545483706314978,0.725,0.7940176070428171,0.5267987847328186,,,,,,,,,"[6836, 8098, 14122, 15974, 6105, 12854, 1044, 15499, 7656, 11620, 10120, 12051, 9753, 1855, 14305, 13395, 3351, 13220, 428, 54, 10297, 279, 7285, 3174, 26]",25.0,0.6971160769462585,0.9475564956665039,,,,,,
0,sae_acts_and_error_k50,0.28355483495609135,0.93,0.9815143816095403,0.5423531268306809,0.71,0.7936424569827931,0.5223016738891602,,,,,,,,,"[6836, 8098, 14122, 15974, 6105, 12854, 1044, 15499, 7656, 11620, 10120, 12051, 9753, 1855, 14305, 13395, 3351, 13220, 428, 54, 10297, 279, 7285, 3174, 26, 13618, 15864, 5906, 11083, 15850, 1098, 14327, 5149, 5350, 4146, 3539, 11719, 11150, 1515, 4346, 5331, 12130, 14346, 1314, 4261, 3168, 7660, 3016, 8342, 11883]",50.0,,,0.719036877155304,0.9178085923194885,,,,
0,sae_acts_and_error_k150,0.2810404443277235,0.93125,0.9813096889922248,0.5468185037219501,0.715,0.7920418167266906,0.5182400345802307,,,,,,,,,"[6836, 8098, 14122, 15974, 6105, 12854, 1044, 15499, 7656, 11620, 10120, 12051, 9753, 1855, 14305, 13395, 3351, 13220, 428, 54, 10297, 279, 7285, 3174, 26, 13618, 15864, 5906, 11083, 15850, 1098, 14327, 5149, 5350, 4146, 3539, 11719, 11150, 1515, 4346, 5331, 12130, 14346, 1314, 4261, 3168, 7660, 3016, 8342, 11883, 11984, 8760, 9907, 9884, 7123, 3345, 13323, 9871, 1061, 5770, 745, 588, 7738, 6050, 6039, 9843, 3195, 11172, 643, 1793, 9808, 7886, 4579, 3991, 11624, 400, 4952, 6720, 7769, 5549, 7174, 5167, 13656, 4986, 8632, 2371, 5157, 432, 5752, 6365, 14460, 12025, 4384, 7351, 3266, 128, 64, 130, 132, 32, 66, 134, 136, 68, 138, 140, 16, 34, 70, 142, 144, 72, 146, 148, 36, 74, 149, 75, 37, 76, 127, 63, 129, 31, 131, 65, 133, 15, 135, 67, 137, 33, 139, 69, 141, 7, 143, 71, 145, 35, 147, 73, 17, 77, 3, 8, 18, 38, 78, 79]",150.0,,,,,0.7478629350662231,0.8806616067886353,,
0,sae_acts_and_error_k300,0.2811590817629584,0.933125,0.9812987512187804,0.5486005386310419,0.7225,0.7910914365746299,0.5181565880775452,,,,,,,,,"[6836, 8098, 14122, 15974, 6105, 12854, 1044, 15499, 7656, 11620, 10120, 12051, 9753, 1855, 14305, 13395, 3351, 13220, 428, 54, 10297, 279, 7285, 3174, 26, 13618, 15864, 5906, 11083, 15850, 1098, 14327, 5149, 5350, 4146, 3539, 11719, 11150, 1515, 4346, 5331, 12130, 14346, 1314, 4261, 3168, 7660, 3016, 8342, 11883, 11984, 8760, 9907, 9884, 7123, 3345, 13323, 9871, 1061, 5770, 745, 588, 7738, 6050, 6039, 9843, 3195, 11172, 643, 1793, 9808, 7886, 4579, 3991, 11624, 400, 4952, 6720, 7769, 5549, 7174, 5167, 13656, 4986, 8632, 2371, 5157, 432, 5752, 6365, 14460, 12025, 4384, 7351, 3266, 10811, 10810, 10828, 10798, 10799, 10829, 10796, 10812, 10809, 10797, 10814, 10874, 10813, 10821, 10817, 10808, 10807, 10818, 10806, 10819, 10816, 10805, 10804, 10820, 10827, 10803, 10822, 10802, 10801, 10823, 10800, 10815, 10824, 10825, 10826, 10882, 10848, 10847, 10861, 10877, 10878, 10879, 10880, 10881, 10849, 10883, 10884, 10885, 10886, 10887, 11023, 10889, 10857, 10888, 10871, 10870, 10869, 10872, 10860, 10859, 10858, 10890, 10856, 10855, 10854, 10853, 10852, 10851, 10850, 10838, 10876, 10845, 10844, 10843, 10842, 10841, 10840, 10839, 10906, 10837, 10836, 10835, 10834, 10833, 10832, 10831, 10830, 10905, 10904, 10903, 10902, 10901, 10900, 10899, 10898, 10897, 10896, 10895, 10894, 10893, 10892, 10891, 10961, 10973, 10972, 10971, 10970, 10969, 10968, 10967, 10966, 10965, 10964, 10963, 10962, 10974, 10960, 10959, 10958, 10957, 10956, 10955, 10954, 10953, 10952, 10951, 10950, 10949, 10986, 10998, 10997, 10996, 10995, 10994, 10993, 10992, 10991, 10990, 10989, 10988, 10987, 10948, 10985, 10984, 10983, 10982, 10981, 10980, 10979, 10978, 10977, 10976, 10975, 10910, 10922, 10921, 10920, 10919, 10918, 10917, 10916, 10915, 10914, 10913, 10912, 10911, 10923, 10909, 10908, 10846, 10786, 10787, 10788, 10789, 10790, 10791, 10792, 10793, 10794, 10935, 10947, 10946, 10945, 10944, 10943, 10942, 10941, 10940, 10939, 10938, 10937, 10936, 10795, 10934, 10933, 10932, 10931, 10930, 10929, 10928, 10927, 10926, 10925, 10924, 10875]",300.0,,,,,,,0.7476192712783813,0.8792908787727356
1,sae_input,0.2613740985585345,0.93125,0.9845599853711371,0.5759279673801221,0.735,0.7972935653134493,0.5108598470687866,0.7063727378845215,0.725117564201355,0.7476455569267273,0.747028112411499,,,,,,,,,,,,,,
1,sae_diff,0.2949115502687072,0.93375,0.9839926480586279,0.5460585185808619,0.7175,0.7983982325324497,0.5454900860786438,,,,,0.9363325834274292,0.910698413848877,0.8856576085090637,0.8825907707214355,,,,,,,,,,
1,sae_acts_post,0.5573822285518183,0.7225,0.7977200229435585,0.6227008937863497,0.6425,0.7048278978684943,0.1425287127494812,,,,,,,,,,,,,,,,,,
