Seed,Feature_Type,Label,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_Input_Recons,Cosine_Sim_Input_Diff,Cosine_Sim_Recons_Diff
0,sae_input,target,0.023499353946628495,0.999375,0.9999992187304683,1.2558836997928993,0.7375,0.792717086834734,3.158937692642212,0.24713173508644104,0.5976362824440002,-0.16151881217956543
0,sae_recons,target,0.06281560633802442,0.996875,0.9999789057226431,1.5477881185059825,0.6725,0.725015006002401,4.062148571014404,0.24713173508644104,0.5976362824440002,-0.16151881217956543
0,sae_diff,target,0.023325621139514193,0.999375,0.9999992187304683,1.0022904079210984,0.6775,0.7869647859143657,3.261936902999878,0.24713173508644104,0.5976362824440002,-0.16151881217956543
1,sae_input,target,0.021386344506129792,1.0,1.0,1.2862008342202458,0.715,0.7846903165875825,3.1099965572357178,0.262717604637146,0.618973970413208,-0.13583052158355713
1,sae_recons,target,0.06151595883180505,0.999375,1.0,1.6120852356149158,0.685,0.7266450754437498,4.062344551086426,0.262717604637146,0.618973970413208,-0.13583052158355713
1,sae_diff,target,0.021818684434740384,1.0,1.0,1.1439685924762577,0.695,0.7649067309382138,3.245310068130493,0.262717604637146,0.618973970413208,-0.13583052158355713
2,sae_input,target,0.021787152289519714,1.0,1.0,1.4003776714579284,0.72,0.7821038935041538,3.1367454528808594,0.2623172700405121,0.5944513082504272,-0.13191024959087372
2,sae_recons,target,0.06318426458513081,0.999375,0.999989061884731,1.2821403963188613,0.705,0.7686918226403763,4.077162742614746,0.2623172700405121,0.5944513082504272,-0.13191024959087372
2,sae_diff,target,0.022162192001780313,1.0,1.0,1.2027312088472704,0.735,0.7835301771594436,3.25034499168396,0.2623172700405121,0.5944513082504272,-0.13191024959087372
3,sae_input,target,0.022822011807054246,0.999375,0.9999992187451172,1.344675019540179,0.73,0.7785778577857785,3.1313412189483643,0.2412528693675995,0.5909988880157471,-0.16239145398139954
3,sae_recons,target,0.06041068607866991,0.999375,0.9999992187451171,1.933388749897976,0.635,0.6694919491949196,3.9946699142456055,0.2412528693675995,0.5909988880157471,-0.16239145398139954
3,sae_diff,target,0.022499104853762945,0.999375,0.9999992187451172,1.1939639560521027,0.6625,0.7357985798579858,3.2213807106018066,0.2412528693675995,0.5909988880157471,-0.16239145398139954
4,sae_input,target,0.020894868571558697,0.999375,0.9999992187487794,1.4408464876705092,0.67,0.7477186929673241,3.0418238639831543,0.2978641986846924,0.6045740842819214,-0.11906982958316803
4,sae_recons,target,0.0612038059945706,0.99875,0.9999992187487794,1.7041552948709071,0.6575,0.6929173229330732,3.998819351196289,0.2978641986846924,0.6045740842819214,-0.11906982958316803
4,sae_diff,target,0.022735711109605584,0.999375,0.9999992187487793,1.1385631087317818,0.6775,0.751068776719418,3.2166037559509277,0.2978641986846924,0.6045740842819214,-0.11906982958316803
5,sae_input,target,0.022149813962516928,0.999375,0.9999992187060522,1.3049519866673256,0.7325,0.7730457411670504,3.10725998878479,0.2531543970108032,0.6112774014472961,-0.146898552775383
5,sae_recons,target,0.0638726248284453,0.996875,0.9999820302392011,1.5714226824694233,0.67,0.7036833149834851,4.011798858642578,0.2531543970108032,0.6112774014472961,-0.146898552775383
5,sae_diff,target,0.022663919775970442,0.999375,0.9999992187060521,1.1627668688902515,0.6725,0.761610449404464,3.2377288341522217,0.2531543970108032,0.6112774014472961,-0.146898552775383
6,sae_input,target,0.022097627519677063,0.999375,0.9999992186901809,1.5280046268681415,0.7125,0.7628595028910415,3.0980305671691895,0.2791854441165924,0.5893985033035278,-0.13915510475635529
6,sae_recons,target,0.05917579973875498,0.99875,0.9999976560705429,1.7172045638525453,0.66,0.7123726565042177,3.9949142932891846,0.2791854441165924,0.5893985033035278,-0.13915510475635529
6,sae_diff,target,0.022450689260387402,0.999375,0.9999992186901809,1.2537920958476902,0.71,0.7646617105954794,3.2270636558532715,0.2791854441165924,0.5893985033035278,-0.13915510475635529
7,sae_input,target,0.022482669228980193,0.999375,0.9999992187194813,1.2421718846904597,0.7375,0.7875422138836773,3.134737968444824,0.240586057305336,0.5968479514122009,-0.15854188799858093
7,sae_recons,target,0.06443900506940337,0.9975,0.9999695300597679,1.3100983835419988,0.6925,0.7477173233270795,4.074476718902588,0.240586057305336,0.5968479514122009,-0.15854188799858093
7,sae_diff,target,0.022821950476482014,0.999375,0.9999992187194813,1.2006600814324555,0.7075,0.7536960600375234,3.242187976837158,0.240586057305336,0.5968479514122009,-0.15854188799858093
8,sae_input,target,0.02401920094147777,0.999375,0.999999218690181,1.022071044631923,0.7625,0.8116192335611123,3.207693576812744,0.23499144613742828,0.5744385123252869,-0.18815726041793823
8,sae_recons,target,0.06502676391428303,0.996875,0.9999835924938003,1.577952032374035,0.6475,0.7117969512653001,4.07687520980835,0.23499144613742828,0.5744385123252869,-0.18815726041793823
8,sae_diff,target,0.022152856525693244,0.999375,0.9999992186901809,1.1973836300585237,0.6875,0.7680408500413007,3.2168145179748535,0.23499144613742828,0.5744385123252869,-0.18815726041793823
9,sae_input,target,0.021149428969361693,1.0,1.0,1.7573484642093127,0.675,0.7172847265870522,3.0829973220825195,0.2611894905567169,0.5896651744842529,-0.17165765166282654
9,sae_recons,target,0.05804500090988915,0.99875,0.9999953108514712,1.9903327119362668,0.6025,0.6463104965430547,3.994058847427368,0.2611894905567169,0.5896651744842529,-0.17165765166282654
9,sae_diff,target,0.02054987765849494,1.0,1.0,1.4283903730351966,0.67,0.7140917661847894,3.1723859310150146,0.2611894905567169,0.5896651744842529,-0.17165765166282654
10,sae_input,target,0.022025417935234774,0.999375,1.0,1.5780534715924261,0.7025,0.7550330528846154,3.1122143268585205,0.2856922149658203,0.6039198040962219,-0.13064928352832794
10,sae_recons,target,0.060001726066883164,0.99875,0.9999890614061406,1.6770934640256336,0.6775,0.7021985176282051,4.014710903167725,0.2856922149658203,0.6039198040962219,-0.13064928352832794
10,sae_diff,target,0.022045986263952155,0.999375,0.9999992186718671,1.2829875394499646,0.685,0.7484975961538461,3.204117774963379,0.2856922149658203,0.6039198040962219,-0.13064928352832794
11,sae_input,target,0.021428197505902604,0.999375,0.99999921875,1.518437064010022,0.6825,0.7386749999999999,3.0723650455474854,0.24869102239608765,0.60649174451828,-0.13277524709701538
11,sae_recons,target,0.06500783034857503,0.998125,0.99999296875,1.3450179206616761,0.715,0.7543000000000001,4.081068515777588,0.24869102239608765,0.60649174451828,-0.13277524709701538
11,sae_diff,target,0.022524876962110342,0.999375,0.99999921875,1.215196447770644,0.695,0.74775,3.2293336391448975,0.24869102239608765,0.60649174451828,-0.13277524709701538
12,sae_input,target,0.022086914957524587,1.0,1.0,1.2999893216106477,0.7075,0.7773358348968106,3.1604745388031006,0.2800023555755615,0.5831322073936462,-0.13292378187179565
12,sae_recons,target,0.06418040060524109,0.99625,0.999965623657174,1.6509189753953537,0.64,0.7039899937460913,4.054381847381592,0.2800023555755615,0.5831322073936462,-0.13292378187179565
12,sae_diff,target,0.022081616430266945,1.0,1.0,1.18433559323721,0.715,0.7723076923076924,3.256711006164551,0.2800023555755615,0.5831322073936462,-0.13292378187179565
