Seed,Feature_Type,Label,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_Input_Recons,Cosine_Sim_Input_Diff,Cosine_Sim_Recons_Diff
0,sae_input,target,0.007897883951287725,1.0,0.9999999999999999,1.577899630682227,0.724,0.7927317573194952,2.4967594146728516,0.3389132618904114,0.5106747150421143,-0.08543674647808075
0,sae_recons,target,0.022503728859491527,1.0,0.9999999999999999,2.1346894220064567,0.68,0.7040329297200334,3.4812848567962646,0.3389132618904114,0.5106747150421143,-0.08543674647808075
0,sae_diff,target,0.011155298396216784,1.0,1.0,1.4035364302815347,0.724,0.7660324171952079,2.9122161865234375,0.3389132618904114,0.5106747150421143,-0.08543674647808075
1,sae_input,target,0.008189722546443734,1.0,0.9999999999999999,1.7926018237653647,0.69,0.7570453633079086,2.5276949405670166,0.34723562002182007,0.5074431300163269,-0.09142319113016129
1,sae_recons,target,0.023830704337989547,1.0,0.9999999999999999,2.0025846533093,0.702,0.7259574468085107,3.5471291542053223,0.34723562002182007,0.5074431300163269,-0.09142319113016129
1,sae_diff,target,0.011370160076382736,1.0,1.0,1.2232580142439082,0.728,0.7839261340826976,2.9323389530181885,0.34723562002182007,0.5074431300163269,-0.09142319113016129
2,sae_input,target,0.008195641667684123,1.0,1.0,1.8371276899318845,0.704,0.7632648489503328,2.5351219177246094,0.36731377243995667,0.5007827281951904,-0.08568884432315826
2,sae_recons,target,0.02252751988446848,1.0,1.0,2.111633266784617,0.702,0.7328469022017411,3.4809346199035645,0.36731377243995667,0.5007827281951904,-0.08568884432315826
2,sae_diff,target,0.011641747573117055,1.0,1.0,1.3466247922131138,0.704,0.7635368663594471,2.9594321250915527,0.36731377243995667,0.5007827281951904,-0.08568884432315826
3,sae_input,target,0.007555452485727482,1.0,1.0,1.8333704054074156,0.696,0.7569511179447754,2.456864833831787,0.37409859895706177,0.5175149440765381,-0.07472918182611465
3,sae_recons,target,0.022221283648346125,1.0,1.0,1.8436548924189244,0.68,0.7340957140111474,3.456181287765503,0.37409859895706177,0.5175149440765381,-0.07472918182611465
3,sae_diff,target,0.010881658501018989,1.0,1.0,1.5018187312985258,0.694,0.7424402588250367,2.8796093463897705,0.37409859895706177,0.5175149440765381,-0.07472918182611465
4,sae_input,target,0.008100929161087444,1.0,1.0,1.5867820196579374,0.712,0.7660565883652783,2.5109126567840576,0.3368402123451233,0.5256038904190063,-0.08204202353954315
4,sae_recons,target,0.022018187942371953,1.0,1.0,2.036361605089218,0.678,0.7144481273318282,3.4689133167266846,0.3368402123451233,0.5256038904190063,-0.08204202353954315
4,sae_diff,target,0.011093027466539463,1.0,1.0,1.4937475861117935,0.698,0.7381146819106179,2.895233392715454,0.3368402123451233,0.5256038904190063,-0.08204202353954315
5,sae_input,target,0.007913492129693538,1.0,1.0,1.7026242795313307,0.718,0.7597734073706615,2.5009493827819824,0.3450990915298462,0.5249120593070984,-0.06263324618339539
5,sae_recons,target,0.02256752166085694,1.0,1.0,2.0425555836798392,0.712,0.742458914083628,3.4944093227386475,0.3450990915298462,0.5249120593070984,-0.06263324618339539
5,sae_diff,target,0.011003922295082904,1.0,1.0,1.5611784669887303,0.69,0.7443311836904514,2.89571475982666,0.3450990915298462,0.5249120593070984,-0.06263324618339539
6,sae_input,target,0.007433205813428877,1.0,1.0,1.8250413082270516,0.702,0.7449116743471582,2.4353246688842773,0.37034258246421814,0.5266380906105042,-0.0528300404548645
6,sae_recons,target,0.020834987684362864,1.0,1.0,2.168637557210138,0.678,0.6982686891961085,3.383267879486084,0.37034258246421814,0.5266380906105042,-0.0528300404548645
6,sae_diff,target,0.011044211591273879,1.0,1.0,1.2789969281194462,0.722,0.7711373527905786,2.9001266956329346,0.37034258246421814,0.5266380906105042,-0.0528300404548645
7,sae_input,target,0.0076525105407497076,1.0,1.0,2.059472496534245,0.686,0.7260298181350815,2.460679769515991,0.34167197346687317,0.5201770663261414,-0.09015496075153351
7,sae_recons,target,0.022817850718769617,1.0,1.0,2.3843341391989794,0.664,0.7067187198766146,3.4651906490325928,0.34167197346687317,0.5201770663261414,-0.09015496075153351
7,sae_diff,target,0.011194140101468523,1.0,1.0,1.6233140379384294,0.672,0.7167759141443353,2.911153554916382,0.34167197346687317,0.5201770663261414,-0.09015496075153351
8,sae_input,target,0.008121286899349642,1.0,0.9999999999999999,1.8736590844459888,0.698,0.7485397897297212,2.516033172607422,0.3459126949310303,0.507266640663147,-0.08373677730560303
8,sae_recons,target,0.02108192972525221,1.0,1.0,1.9620765675355831,0.684,0.7276327791201933,3.426780939102173,0.3459126949310303,0.507266640663147,-0.08373677730560303
8,sae_diff,target,0.01137965752067722,1.0,1.0,1.3478342351449186,0.722,0.7621737530204349,2.9226465225219727,0.3459126949310303,0.507266640663147,-0.08373677730560303
9,sae_input,target,0.007795616710457745,1.0,1.0,1.9764235048000218,0.704,0.7368985841501697,2.480339527130127,0.34799009561538696,0.5158190727233887,-0.09423086047172546
9,sae_recons,target,0.02115389740255434,1.0,1.0,2.2388721489485204,0.672,0.7143635082324301,3.4173760414123535,0.34799009561538696,0.5158190727233887,-0.09423086047172546
9,sae_diff,target,0.010766626109750259,1.0,1.0,1.5025128338748976,0.662,0.73620987891601,2.8739988803863525,0.34799009561538696,0.5158190727233887,-0.09423086047172546
10,sae_input,target,0.008117961042648014,1.0,1.0,1.6326978404020724,0.722,0.7794270708235257,2.5210022926330566,0.3757612109184265,0.5305148363113403,-0.06746771186590195
10,sae_recons,target,0.023959779328650347,1.0,1.0,1.9567599743053419,0.698,0.7389953723719397,3.5552053451538086,0.3757612109184265,0.5305148363113403,-0.06746771186590195
