Seed,Feature_Type,Label,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_Input_Recons,Cosine_Sim_Input_Diff,Cosine_Sim_Recons_Diff
0,sae_input,target,0.2669099044034651,0.930625,0.983303488837221,0.48473682910964094,0.745,0.8388855542216886,5.155463695526123,0.5919179320335388,0.5940714478492737,-0.10151858627796173
0,sae_recons,target,0.34550601978977324,0.879375,0.9519230168254206,0.5857983872405425,0.7075,0.7660564225690276,4.6683669090271,0.5919179320335388,0.5940714478492737,-0.10151858627796173
0,sae_diff,target,0.31358156858809055,0.9325,0.9843894534863371,0.5042617706561007,0.755,0.8369347739095637,5.607784271240234,0.5919179320335388,0.5940714478492737,-0.10151858627796173
1,sae_input,target,0.26631888538536125,0.9325,0.9842599061314629,0.4949948381618496,0.7625,0.8383419949285733,5.195969581604004,0.5781151652336121,0.6209331750869751,-0.08749663829803467
1,sae_recons,target,0.35355197234651053,0.87625,0.9494850984087986,0.5449173437406412,0.7425,0.8043985840174738,4.666208744049072,0.5781151652336121,0.6209331750869751,-0.08749663829803467
1,sae_diff,target,0.3113544750392901,0.938125,0.9867855730653875,0.5218092052319391,0.7175,0.8184830910597274,5.656426906585693,0.5781151652336121,0.6209331750869751,-0.08749663829803467
2,sae_input,target,0.2665749230078099,0.935625,0.9842788031826791,0.5002886950287979,0.7625,0.8358522670403362,5.195316314697266,0.5885717868804932,0.619594395160675,-0.07043350487947464
2,sae_recons,target,0.3552607428708475,0.86625,0.948147083273434,0.5482522549059325,0.7225,0.799744770293264,4.633841514587402,0.5885717868804932,0.619594395160675,-0.07043350487947464
2,sae_diff,target,0.31515924293183967,0.93625,0.9850944740641662,0.506196182400671,0.765,0.8322490241217096,5.619290828704834,0.5885717868804932,0.619594395160675,-0.07043350487947464
3,sae_input,target,0.2601317586798033,0.93375,0.9841663072894207,0.5669591704554837,0.7125,0.7842034203420343,5.141417980194092,0.5919494032859802,0.599181056022644,-0.09216878563165665
3,sae_recons,target,0.34071618635060796,0.8875,0.9537239295245595,0.6372365562356009,0.665,0.720972097209721,4.64812707901001,0.5919494032859802,0.599181056022644,-0.09216878563165665
3,sae_diff,target,0.30890066353369305,0.92875,0.9848069362933518,0.5542287755766072,0.6875,0.7820782078207822,5.591128826141357,0.5919494032859802,0.599181056022644,-0.09216878563165665
4,sae_input,target,0.258610930288387,0.93875,0.9860226344103662,0.5346454369099264,0.7275,0.8105702642566064,5.200949668884277,0.5918993949890137,0.6142718195915222,-0.06805679202079773
4,sae_recons,target,0.34679390659347686,0.871875,0.9517194558116496,0.5773061362104628,0.705,0.7765194129853247,4.668644905090332,0.5918993949890137,0.6142718195915222,-0.06805679202079773
4,sae_diff,target,0.3078405336164318,0.93875,0.9874570116515808,0.5414376972688933,0.7225,0.7914697867446685,5.660058498382568,0.5918993949890137,0.6142718195915222,-0.06805679202079773
5,sae_input,target,0.25855111687730953,0.938125,0.985457775749886,0.5482239757187227,0.73,0.8054749274346913,5.172149658203125,0.589999258518219,0.6167661547660828,-0.07256375253200531
5,sae_recons,target,0.34902685772557646,0.870625,0.9497635804514004,0.5836595234467555,0.6725,0.7681663497147433,4.614339828491211,0.589999258518219,0.6167661547660828,-0.07256375253200531
5,sae_diff,target,0.3047709373091583,0.941875,0.9871313073860405,0.5616659877118001,0.7175,0.780577519767791,5.6453375816345215,0.589999258518219,0.6167661547660828,-0.07256375253200531
6,sae_input,target,0.2636721328504291,0.93,0.9849199391828437,0.5118576478049577,0.7375,0.8237841355660684,5.2077436447143555,0.5823152661323547,0.626568078994751,-0.07342743873596191
6,sae_recons,target,0.3549687416863586,0.865625,0.9476670870113492,0.5472921068671827,0.735,0.792145378088158,4.621122360229492,0.5823152661323547,0.626568078994751,-0.07342743873596191
6,sae_diff,target,0.3128637065186186,0.93375,0.9857840678426942,0.5258811467091944,0.7275,0.8158243848714675,5.620450496673584,0.5823152661323547,0.626568078994751,-0.07342743873596191
7,sae_input,target,0.2658454086944124,0.93375,0.9844736122504786,0.4921798732406697,0.7425,0.8357223264540338,5.210416316986084,0.5792965292930603,0.6356679201126099,-0.06567555665969849
7,sae_recons,target,0.36010736983455827,0.861875,0.9454236493613033,0.5089047652883799,0.725,0.8155347091932458,4.603895664215088,0.5792965292930603,0.6356679201126099,-0.06567555665969849
7,sae_diff,target,0.3122586731180165,0.93,0.985893980233603,0.5200436816582877,0.7175,0.813358348968105,5.637421131134033,0.5792965292930603,0.6356679201126099,-0.06567555665969849
8,sae_input,target,0.2659497007000061,0.943125,0.9842980165668934,0.5030331968583702,0.7575,0.8338714925784085,5.211076736450195,0.5929052233695984,0.6170474886894226,-0.07908397912979126
8,sae_recons,target,0.35551294514405657,0.871875,0.9487843600525665,0.5496557348395593,0.7275,0.8024079497384295,4.661881446838379,0.5929052233695984,0.6170474886894226,-0.07908397912979126
8,sae_diff,target,0.3129375227984575,0.935625,0.984504282359118,0.5158640667510963,0.7375,0.8190283096793571,5.620009899139404,0.5929052233695984,0.6170474886894226,-0.07908397912979126
9,sae_input,target,0.2624243937629123,0.938125,0.9846946192020632,0.5426034492246407,0.7475,0.8122438717787555,5.186388969421387,0.5922377705574036,0.6196558475494385,-0.07384026050567627
9,sae_recons,target,0.35065772539436163,0.875,0.9496479230979642,0.5897555950287545,0.715,0.7614833438089252,4.6264848709106445,0.5922377705574036,0.6196558475494385,-0.07384026050567627
9,sae_diff,target,0.3129974689774651,0.9325,0.9851463405103357,0.5288658227188585,0.7325,0.8091011942174733,5.618264675140381,0.5922377705574036,0.6196558475494385,-0.07384026050567627
10,sae_input,target,0.26504539467919236,0.93625,0.9824779352935294,0.515260775006964,0.77,0.8310797275641026,5.11955451965332,0.5865470170974731,0.6096246242523193,-0.08885792642831802
10,sae_recons,target,0.34819637459869945,0.876875,0.9504481698169817,0.5867047634557568,0.6975,0.7719851762820513,4.59637975692749,0.5865470170974731,0.6096246242523193,-0.08885792642831802
10,sae_diff,target,0.31010411418534084,0.93375,0.9845867399239924,0.5355262464341376,0.725,0.8040364583333333,5.617328643798828,0.5865470170974731,0.6096246242523193,-0.08885792642831802
11,sae_input,target,0.26245023997245437,0.935,0.9841070312500001,0.5098643711366172,0.735,0.815875,5.181771278381348,0.5890055298805237,0.6245495080947876,-0.06997854262590408
11,sae_recons,target,0.3525581951768184,0.88,0.94938203125,0.5374235750743073,0.725,0.8053999999999999,4.637380599975586,0.5890055298805237,0.6245495080947876,-0.06997854262590408
11,sae_diff,target,0.3091612188960136,0.938125,0.98476640625,0.5364715122510179,0.7075,0.795825,5.630694389343262,0.5890055298805237,0.6245495080947876,-0.06997854262590408
12,sae_input,target,0.26712747453048924,0.931875,0.9840587522950116,0.500833218618804,0.765,0.8399749843652282,5.178023338317871,0.582543671131134,0.6164842247962952,-0.08881612122058868
12,sae_recons,target,0.35311926045238207,0.873125,0.9502433688815969,0.5573899861207052,0.7225,0.7924202626641651,4.642472743988037,0.582543671131134,0.6164842247962952,-0.08881612122058868
12,sae_diff,target,0.31365075083206284,0.94,0.9855447478417125,0.5157981164931456,0.75,0.8215634771732333,5.627571105957031,0.582543671131134,0.6164842247962952,-0.08881612122058868
13,sae_input,target,0.26226531697540256,0.93875,0.9862288201801261,0.5130451101436571,0.76,0.8373587358735873,5.2229461669921875,0.5894383788108826,0.6130002737045288,-0.08255063742399216
13,sae_recons,target,0.3488558270550257,0.885,0.9532270514190713,0.564228597387479,0.7325,0.7938293829382939,4.721613883972168,0.5894383788108826,0.6130002737045288,-0.08255063742399216
13,sae_diff,target,0.31342986872850587,0.935,0.9860116313226958,0.5142678679915391,0.75,0.8256075607560757,5.635711669921875,0.5894383788108826,0.6130002737045288,-0.08255063742399216
14,sae_input,target,0.26075772654896756,0.940625,0.9859533220491037,0.5196461707349844,0.75,0.8250608822274108,5.227758407592773,0.5779315233230591,0.6175767779350281,-0.09344244748353958
14,sae_recons,target,0.3474816314994085,0.88125,0.9526414006198511,0.5960937948389551,0.685,0.7579021365268259,4.686757564544678,0.5779315233230591,0.6175767779350281,-0.09344244748353958
14,sae_diff,target,0.3060358659739413,0.93625,0.9863925005196684,0.547496515260841,0.7325,0.7971680349476538,5.644349098205566,0.5779315233230591,0.6175767779350281,-0.09344244748353958
15,sae_input,target,0.2618672381244751,0.938125,0.9850327664648947,0.5262922103976702,0.7325,0.8170771509628179,5.187338352203369,0.5981253981590271,0.6134977340698242,-0.06589630991220474
15,sae_recons,target,0.348859237975594,0.88125,0.9530743274395895,0.56984409463254,0.7025,0.7769325399814215,4.689186096191406,0.5981253981590271,0.6134977340698242,-0.06589630991220474
15,sae_diff,target,0.3122059159423757,0.9375,0.9859814544778231,0.5269578311286699,0.7425,0.8107253144535663,5.6289143562316895,0.5981253981590271,0.6134977340698242,-0.06589630991220474
16,sae_input,target,0.260842325217465,0.935625,0.9842680659642035,0.5461968626089545,0.73,0.802093076164716,5.173005104064941,0.6020161509513855,0.6108083724975586,-0.07321660220623016
16,sae_recons,target,0.34529023589525887,0.885625,0.9512609469962897,0.6083927959102515,0.68,0.7497914507444576,4.644262790679932,0.6020161509513855,0.6108083724975586,-0.07321660220623016
