Seed,Feature_Type,Label,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_Input_Recons,Cosine_Sim_Input_Diff,Cosine_Sim_Recons_Diff
0,sae_input,target,0.02273745685817398,0.9995821145006268,1.0,0.02563154006448506,0.998330550918197,0.999531480076748,3.6288673877716064,0.4425102174282074,0.7897242307662964,-0.14901632070541382
0,sae_recons,target,0.04681419231369437,0.9958211450062683,0.999894520368047,0.049191769137255564,0.994991652754591,0.9977466422738833,4.505459308624268,0.4425102174282074,0.7897242307662964,-0.14901632070541382
0,sae_diff,target,0.025355444886264247,1.0,1.0,0.026402604310364647,0.996661101836394,0.9999442238186604,3.925910711288452,0.4425102174282074,0.7897242307662964,-0.14901632070541382
1,sae_input,target,0.022311436301154244,1.0,1.0,0.027705938245270872,0.996661101836394,0.9999664654594232,3.5891823768615723,0.448103129863739,0.7917505502700806,-0.14253996312618256
1,sae_recons,target,0.04535224261013138,0.9945674885081488,0.9999455068284135,0.053495143977376106,0.993322203672788,0.9994746255309637,4.478302955627441,0.448103129863739,0.7917505502700806,-0.14253996312618256
1,sae_diff,target,0.02498920279379158,1.0,1.0,0.029899234888521004,0.994991652754591,0.9999776436396155,3.8883283138275146,0.448103129863739,0.7917505502700806,-0.14253996312618256
2,sae_input,target,0.02215371018349367,0.9991642290012537,0.9999993007628677,0.030806915147112583,0.998330550918197,0.9995012355755061,3.5960168838500977,0.44495195150375366,0.7891746759414673,-0.14889496564865112
2,sae_recons,target,0.04493341171261175,0.9954032595068951,0.9998993098529504,0.05946449019561801,0.993322203672788,0.997279466775488,4.478288650512695,0.44495195150375366,0.7891746759414673,-0.14889496564865112
2,sae_diff,target,0.024746648591472912,1.0,1.0,0.0316074225085051,0.994991652754591,0.9999093155591829,3.895814895629883,0.44495195150375366,0.7891746759414673,-0.14889496564865112
3,sae_input,target,0.02207013308444532,0.9991642290012537,0.9999993014857398,0.03227919267978432,0.996661101836394,0.9991973065174251,3.5897555351257324,0.4484403729438782,0.786960780620575,-0.1485448032617569
3,sae_recons,target,0.044508967234378534,0.9958211450062683,0.9999594861729103,0.062425033032977174,0.989983305509182,0.9968561171932485,4.471883296966553,0.4484403729438782,0.786960780620575,-0.1485448032617569
3,sae_diff,target,0.02476730648990361,0.9995821145006268,1.0,0.03224029225509608,0.996661101836394,0.9998773662734954,3.889259099960327,0.4484403729438782,0.786960780620575,-0.1485448032617569
4,sae_input,target,0.022753929249866908,0.9995821145006268,0.9999993014857398,0.023523458580057378,0.998330550918197,1.0,3.6211342811584473,0.44105565547943115,0.7888338565826416,-0.1540374606847763
4,sae_recons,target,0.04609638718069562,0.994985374007522,0.9998889362326332,0.049462885163551705,0.991652754590985,0.9999219603558608,4.495986461639404,0.44105565547943115,0.7888338565826416,-0.1540374606847763
4,sae_diff,target,0.025287258603639413,1.0,1.0,0.026846898093089374,0.998330550918197,1.0,3.9116156101226807,0.44105565547943115,0.7888338565826416,-0.1540374606847763
5,sae_input,target,0.022540031944407162,0.9995821145006268,0.9999993014662224,0.02786456881784648,0.998330550918197,0.9995873207075776,3.612222909927368,0.4450831413269043,0.7898911833763123,-0.1463729292154312
5,sae_recons,target,0.04629396608176567,0.9945674885081488,0.9998854404604736,0.05373954203535411,0.994991652754591,0.9976243056949743,4.4810380935668945,0.4450831413269043,0.7898911833763123,-0.1463729292154312
5,sae_diff,target,0.02527655396055068,0.9995821145006268,1.0,0.028059026967758617,0.998330550918197,0.9999219255392714,3.9109973907470703,0.4450831413269043,0.7898911833763123,-0.1463729292154312
6,sae_input,target,0.022875494293867767,1.0,1.0,0.024143689359905265,0.998330550918197,0.9999888290623115,3.6097660064697266,0.44300228357315063,0.7901503443717957,-0.14834019541740417
6,sae_recons,target,0.04625097780311262,0.994985374007522,0.9999392216175433,0.04818870867818414,0.993322203672788,0.9996425299939676,4.501035690307617,0.44300228357315063,0.7901503443717957,-0.14834019541740417
6,sae_diff,target,0.02550351670431674,0.9995821145006268,1.0,0.026804719782708656,0.996661101836394,1.0,3.903717041015625,0.44300228357315063,0.7901503443717957,-0.14834019541740417
7,sae_input,target,0.022199752454777996,1.0,1.0,0.025260057452866778,0.994991652754591,0.9999108118352694,3.63277530670166,0.4394562542438507,0.7925909757614136,-0.15104693174362183
7,sae_recons,target,0.04607939190714922,0.9958211450062683,0.9999112886889585,0.04634175985981137,0.989983305509182,0.9997658810675824,4.535490036010742,0.4394562542438507,0.7925909757614136,-0.15104693174362183
7,sae_diff,target,0.024769044736748784,1.0,1.0,0.02827189650078182,0.993322203672788,0.9999108118352695,3.92148494720459,0.4394562542438507,0.7925909757614136,-0.15104693174362183
8,sae_input,target,0.02277384003415623,1.0,1.0,0.023076845279296033,1.0,1.0,3.6239731311798096,0.4437614977359772,0.7904065847396851,-0.14855140447616577
8,sae_recons,target,0.0464076211318129,0.9945674885081488,0.9998952164200061,0.04750579576554151,0.994991652754591,0.9999665215935721,4.496617794036865,0.4437614977359772,0.7904065847396851,-0.14855140447616577
8,sae_diff,target,0.025398381866794276,1.0,1.0,0.025782814026850308,1.0,1.0,3.9168941974639893,0.4437614977359772,0.7904065847396851,-0.14855140447616577
9,sae_input,target,0.022471750217735405,0.9995821145006268,0.9999993014769571,0.028879775354231158,0.996661101836394,0.9994759143621766,3.602048397064209,0.4436810314655304,0.7870211601257324,-0.15192152559757233
9,sae_recons,target,0.045354235268319616,0.9966569160050146,0.9998994126818256,0.05656327550186362,0.988313856427379,0.9976025869759143,4.488788604736328,0.4436810314655304,0.7870211601257324,-0.15192152559757233
9,sae_diff,target,0.0250369124009736,0.9995821145006268,1.0,0.030000257865733602,0.996661101836394,0.9998884924174845,3.901801586151123,0.4436810314655304,0.7870211601257324,-0.15192152559757233
10,sae_input,target,0.022431913409935767,0.9995821145006268,0.9999993013979028,0.027231846060083872,0.998330550918197,0.9999776581246229,3.5984621047973633,0.4444594979286194,0.792181134223938,-0.1469970941543579
10,sae_recons,target,0.045647476282884986,0.9954032595068951,0.9999378244133489,0.05210604309397815,0.994991652754591,0.999407940302509,4.490818023681641,0.4444594979286194,0.792181134223938,-0.1469970941543579
10,sae_diff,target,0.024985328128825243,0.9995821145006268,1.0,0.03015017495342899,0.998330550918197,0.9999888290623115,3.8931424617767334,0.4444594979286194,0.792181134223938,-0.1469970941543579
11,sae_input,target,0.022754956115127473,0.9991642290012537,0.9999993014808606,0.023965495789849488,0.998330550918197,0.999988850236375,3.6135077476501465,0.4425759017467499,0.7902616262435913,-0.1486080288887024
11,sae_recons,target,0.04614241826782735,0.9962390305056414,0.9999001117630624,0.0479652464723462,0.991652754590985,0.9998550530728749,4.5042619705200195,0.4425759017467499,0.7902616262435913,-0.1486080288887024
11,sae_diff,target,0.02540101268823887,1.0,1.0,0.02690953661609122,0.998330550918197,1.0,3.9049744606018066,0.4425759017467499,0.7902616262435913,-0.1486080288887024
12,sae_input,target,0.02300653923156656,0.9991642290012537,1.0,0.022794819701146767,1.0,1.0,3.6117918491363525,0.4422775208950043,0.7890958786010742,-0.1522388607263565
