Seed,Feature_Type,Label,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_Input_Recons,Cosine_Sim_Input_Diff,Cosine_Sim_Recons_Diff
0,sae_input,target,0.015054292045533657,0.9970747828483582,0.9999776467005134,0.01605904847383499,0.9966610670089722,0.999888447637321,5.375,0.41015625,0.66796875,-0.08740234375
0,sae_recons,target,0.04016321524977684,0.9928959012031555,0.999645490640953,0.043917492032051086,0.9933221936225891,0.9972558118780955,6.21875,0.41015625,0.66796875,-0.08740234375
0,sae_diff,target,0.009941061027348042,0.9995821118354797,0.9999993014593911,0.012518573552370071,0.9966610670089722,0.9999665342911963,6.09375,0.41015625,0.66796875,-0.08740234375
1,sae_input,target,0.018146615475416183,0.9958211183547974,0.9999772945118389,0.02519603818655014,0.9949916005134583,0.9998882181980774,5.0625,0.40625,0.65625,-0.09228515625
1,sae_recons,target,0.038967616856098175,0.9924780130386353,0.999816260203497,0.04794536903500557,0.9899832606315613,0.999156047395484,6.0625,0.40625,0.65625,-0.09228515625
1,sae_diff,target,0.011349806562066078,0.9974926710128784,0.9999972054783801,0.015940969809889793,0.9949916005134583,0.9999776436396155,6.21875,0.40625,0.65625,-0.09228515625
2,sae_input,target,0.021630773320794106,0.9979105591773987,0.9999958045772063,0.03227008879184723,0.9933221936225891,0.9994955677979551,5.125,0.419921875,0.67578125,-0.1005859375
2,sae_recons,target,0.034518592059612274,0.9945674538612366,0.9997919769531441,0.051712386310100555,0.9899832606315613,0.9969053934571176,6.3125,0.419921875,0.67578125,-0.1005859375
2,sae_diff,target,0.011763161979615688,0.9995821118354797,0.9999993007628677,0.018425745889544487,0.9949916005134583,0.9999206511142851,5.96875,0.419921875,0.67578125,-0.1005859375
3,sae_input,target,0.025997290387749672,0.9928959012031555,0.9999580891443899,0.03367304056882858,0.9949916005134583,0.9996209502998953,4.625,0.431640625,0.66796875,-0.099609375
3,sae_recons,target,0.049848128110170364,0.9857918620109558,0.9998134966925349,0.0696781575679779,0.9866443872451782,0.9965997012196481,5.59375,0.431640625,0.66796875,-0.099609375
3,sae_diff,target,0.012194426730275154,0.9991642236709595,0.9999986029714797,0.019056014716625214,0.9966610670089722,0.9999219603558609,5.6875,0.431640625,0.66796875,-0.099609375
4,sae_input,target,0.016537664458155632,0.9970747828483582,0.9999783460579348,0.018375815823674202,0.9949916005134583,0.9999888514794086,5.0,0.41015625,0.6796875,-0.10400390625
4,sae_recons,target,0.04460044950246811,0.9887170791625977,0.9997831113222176,0.0515173077583313,0.9883138537406921,0.9998885147940869,6.28125,0.41015625,0.6796875,-0.10400390625
4,sae_diff,target,0.008827080018818378,1.0,1.0,0.011882057413458824,0.9966610670089722,1.0,6.25,0.41015625,0.6796875,-0.10400390625
5,sae_input,target,0.02172021195292473,0.9933137893676758,0.9999867278582256,0.026618165895342827,0.9933221936225891,0.9999219255392715,5.1875,0.396484375,0.65234375,-0.1015625
5,sae_recons,target,0.06685974448919296,0.9774341583251953,0.9997659911845038,0.07648082822561264,0.9716193079948425,0.9980592919761762,6.03125,0.396484375,0.65234375,-0.1015625
5,sae_diff,target,0.00959334522485733,0.9995821118354797,1.0000000000000002,0.012392839416861534,0.9983305335044861,0.9999888465056102,6.1875,0.396484375,0.65234375,-0.1015625
6,sae_input,target,0.017585529014468193,0.9966568946838379,0.9999741517224036,0.018802035599946976,0.9949916005134583,0.9999832435934672,4.90625,0.4140625,0.6640625,-0.09765625
6,sae_recons,target,0.08105933666229248,0.9665691256523132,0.999754441362833,0.09852541238069534,0.9582637548446655,0.9993576710829106,6.03125,0.4140625,0.6640625,-0.09765625
6,sae_diff,target,0.011063617654144764,1.0,1.0,0.010724729858338833,0.9983305335044861,0.9999999999999999,6.15625,0.4140625,0.6640625,-0.09765625
7,sae_input,target,0.010937344282865524,0.9991642236709595,0.9999783460579347,0.014096541330218315,0.9966610670089722,0.9999442573970434,5.78125,0.400390625,0.68359375,-0.1064453125
7,sae_recons,target,0.03395736962556839,0.9924780130386353,0.9998138459496652,0.036611516028642654,0.9899832606315613,0.9995540591763473,6.71875,0.400390625,0.68359375,-0.1064453125
7,sae_diff,target,0.008130772970616817,0.9995821118354797,0.9999999999999999,0.013593249954283237,0.9949916005134583,0.9999442573970434,6.3125,0.400390625,0.68359375,-0.1064453125
8,sae_input,target,0.014987755566835403,0.9974926710128784,0.9999804403984012,0.014145034365355968,0.9983305335044861,1.0,5.3125,0.41796875,0.6796875,-0.1044921875
8,sae_recons,target,0.05099412053823471,0.9912243485450745,0.9997408352788152,0.04975336417555809,0.9966610670089722,0.9999553621247628,6.21875,0.41796875,0.6796875,-0.1044921875
8,sae_diff,target,0.012593671679496765,0.998328447341919,1.0,0.013099908828735352,1.0,1.0,6.34375,0.41796875,0.6796875,-0.1044921875
9,sae_input,target,0.015555426478385925,0.9979105591773987,0.9999811398778423,0.021864324808120728,0.9966610670089722,0.9997268064228368,5.1875,0.41015625,0.671875,-0.09423828125
9,sae_recons,target,0.03800604119896889,0.9916422367095947,0.9997694873958503,0.04973959922790527,0.9866443872451782,0.9979148082069581,6.46875,0.41015625,0.671875,-0.09423828125
9,sae_diff,target,0.010005060583353043,0.9995821118354797,1.0,0.016206873580813408,0.9966610670089722,0.9998884924174843,6.0,0.41015625,0.671875,-0.09423828125
10,sae_input,target,0.021486472338438034,0.9958211183547974,0.9999811377433755,0.029088765382766724,0.9933221936225891,0.9997877521839184,4.65625,0.423828125,0.64453125,-0.080078125
10,sae_recons,target,0.04304209724068642,0.9933137893676758,0.9996880741635987,0.04795093461871147,0.9916527271270752,0.999123081391452,5.78125,0.423828125,0.64453125,-0.080078125
10,sae_diff,target,0.012689944356679916,0.9991642236709595,0.9999986027958057,0.017588216811418533,0.9966610670089722,1.0,5.84375,0.423828125,0.64453125,-0.080078125
11,sae_input,target,0.015565778128802776,0.9979105591773987,0.9999888236937693,0.0169163066893816,0.9949916005134583,0.9999665507091249,4.96875,0.43359375,0.6875,-0.1005859375
11,sae_recons,target,0.04340055212378502,0.9933137893676758,0.9997534227437833,0.04098011925816536,0.9933221936225891,0.9997658549638748,5.96875,0.43359375,0.6875,-0.1005859375
11,sae_diff,target,0.009151934646070004,0.9991642236709595,0.9999993014808606,0.010765301063656807,0.9983305335044861,1.0,6.1875,0.43359375,0.6875,-0.1005859375
12,sae_input,target,0.016184315085411072,0.9962390065193176,0.99997415500848,0.015246650204062462,0.9966610670089722,0.9999888517279821,5.09375,0.431640625,0.69140625,-0.09912109375
12,sae_recons,target,0.04277845844626427,0.9891349673271179,0.9997335171820297,0.04731867462396622,0.9866443872451782,0.9998550724637681,6.09375,0.431640625,0.69140625,-0.09912109375
12,sae_diff,target,0.01036329660564661,0.9987463355064392,0.9999986029734313,0.010717025026679039,0.9966610670089722,1.0,6.25,0.431640625,0.69140625,-0.09912109375
13,sae_input,target,0.024627529084682465,0.9966568946838379,0.9999923158708005,0.02425973303616047,0.9949916005134583,0.9999776810623814,5.1875,0.4140625,0.67578125,-0.09228515625
13,sae_recons,target,0.04256068170070648,0.9924780130386353,0.9997537585870144,0.04321672022342682,0.9899832606315613,0.9998660863742885,5.96875,0.4140625,0.67578125,-0.09228515625
13,sae_diff,target,0.01097448356449604,0.9995821118354797,1.0,0.013335300609469414,0.9983305335044861,0.9999776810623815,6.03125,0.4140625,0.67578125,-0.09228515625
