Seed,Feature_Type,Label,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_Input_Recons,Cosine_Sim_Input_Diff,Cosine_Sim_Recons_Diff
0,sae_input,target,0.016037827357649803,0.9971771836280823,0.9999860548323989,0.04606693983078003,0.9718309640884399,0.999,4.0,0.828125,0.3984375,-0.0303955078125
0,sae_recons,target,0.023714128881692886,0.9936485886573792,0.9999382428291956,0.06415773928165436,0.96619713306427,0.997984126984127,4.09375,0.828125,0.3984375,-0.0303955078125
0,sae_diff,target,0.022083189338445663,0.9985885620117188,0.9999980078331999,0.05560080707073212,0.9774647355079651,0.9993015873015874,6.1875,0.828125,0.3984375,-0.0303955078125
1,sae_input,target,0.024732990190386772,0.9943543076515198,0.9999840624750976,0.05150635167956352,0.9774647355079651,0.9994602146440592,3.703125,0.83203125,0.39453125,-0.017822265625
1,sae_recons,target,0.03384770080447197,0.990119993686676,0.9998107418917841,0.06484440714120865,0.9718309640884399,0.9981901314536101,3.796875,0.83203125,0.39453125,-0.017822265625
1,sae_diff,target,0.02441415749490261,1.0,1.0,0.04849962890148163,0.9887323379516602,0.9996507271226265,6.15625,0.83203125,0.39453125,-0.017822265625
2,sae_input,target,0.01753660850226879,0.9971771836280823,0.9999760868525516,0.029763121157884598,0.9943661689758301,0.9997448165869218,3.9375,0.8359375,0.40625,-0.0216064453125
2,sae_recons,target,0.027501216158270836,0.9950600266456604,0.9998874089307634,0.04232536628842354,0.983098566532135,0.9993939393939395,3.984375,0.8359375,0.40625,-0.0216064453125
2,sae_diff,target,0.023129595443606377,0.9985885620117188,0.9999980072377127,0.04086625576019287,0.9915492534637451,0.9998086124401914,6.15625,0.8359375,0.40625,-0.0216064453125
3,sae_input,target,0.031503014266490936,0.9837685227394104,0.9999472037933577,0.10450037568807602,0.969014048576355,0.9951055174167303,3.84375,0.83984375,0.40234375,-0.0067138671875
3,sae_recons,target,0.03948995843529701,0.9830628037452698,0.999854561393023,0.10119296610355377,0.9605633616447449,0.9951055174167301,3.90625,0.83984375,0.40234375,-0.0067138671875
3,sae_diff,target,0.021125366911292076,0.9985885620117188,1.0,0.07109467685222626,0.9746478796005249,0.9968217645563183,6.28125,0.83984375,0.40234375,-0.0067138671875
4,sae_input,target,0.02130715176463127,0.9929428696632385,0.9999900366650725,0.06723432242870331,0.969014048576355,0.9992350353796137,4.09375,0.83984375,0.408203125,-0.0172119140625
4,sae_recons,target,0.023838697001338005,0.9943543076515198,0.9999242786545512,0.07077638804912567,0.9718309640884399,0.9975298017466692,4.21875,0.83984375,0.408203125,-0.0172119140625
4,sae_diff,target,0.023377129808068275,1.0,0.9999999999999999,0.06189872696995735,0.98028165102005,0.9989481736469689,6.09375,0.83984375,0.408203125,-0.0172119140625
