Seed,Feature_Type,Label,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_Input_Recons,Cosine_Sim_Input_Diff,Cosine_Sim_Recons_Diff
0,sae_input,target,0.5657446980476379,0.7212499976158142,0.9096547726193155,0.7328909039497375,0.6674999594688416,0.7807748099239695,3.484375,0.71875,0.5625,-0.0111083984375
0,sae_recons,target,0.696628987789154,0.6643750071525574,0.8641497287432186,0.8666117787361145,0.6225000023841858,0.7090961384553821,3.265625,0.71875,0.5625,-0.0111083984375
0,sae_diff,target,0.35807767510414124,0.875,0.9498190579764494,0.5213693976402283,0.737500011920929,0.8183398359343736,5.09375,0.71875,0.5625,-0.0111083984375
1,sae_input,target,0.4310150146484375,0.7918750047683716,0.8966047284361026,0.5960745811462402,0.7049999833106995,0.7929627676935052,3.515625,0.71875,0.58984375,0.00286865234375
1,sae_recons,target,0.5325972437858582,0.7293750047683716,0.8442557487836632,0.6733289957046509,0.6574999690055847,0.7515251939444152,3.21875,0.71875,0.58984375,0.00286865234375
1,sae_diff,target,0.3804779052734375,0.856249988079071,0.94456114192654,0.5484588742256165,0.7299999594688416,0.8015741507870755,5.125,0.71875,0.58984375,0.00286865234375
2,sae_input,target,0.5026482343673706,0.7512499690055847,0.8957706996018526,0.6894450187683105,0.6524999737739563,0.7824041637473726,3.484375,0.72265625,0.58984375,0.00152587890625
2,sae_recons,target,0.5763922929763794,0.70374995470047,0.8522080929552287,0.7254185080528259,0.6349999904632568,0.7476979281353218,3.1875,0.72265625,0.58984375,0.00152587890625
2,sae_diff,target,0.3634313941001892,0.8837499618530273,0.9487385227919071,0.5284436941146851,0.7299999594688416,0.8067635872285057,5.0,0.72265625,0.58984375,0.00152587890625
3,sae_input,target,0.3708252012729645,0.8393749594688416,0.9289722123263271,0.6128752827644348,0.6725000143051147,0.7522377237723772,3.5,0.71875,0.56640625,-0.0142822265625
3,sae_recons,target,0.43743404746055603,0.7943750023841858,0.8858156925980787,0.6689448356628418,0.637499988079071,0.6907940794079408,3.25,0.71875,0.56640625,-0.0142822265625
3,sae_diff,target,0.36035025119781494,0.8681249618530273,0.9459293495584348,0.5920110940933228,0.6899999976158142,0.7617136713671366,5.125,0.71875,0.56640625,-0.0142822265625
4,sae_input,target,0.3894532024860382,0.8262499570846558,0.9145311164548695,0.5468178987503052,0.7199999690055847,0.8039075976899421,3.375,0.7265625,0.58203125,0.0133056640625
4,sae_recons,target,0.469806045293808,0.7637499570846558,0.8700794844991945,0.6033691167831421,0.6825000047683716,0.7635940898522463,3.078125,0.7265625,0.58203125,0.0133056640625
4,sae_diff,target,0.3660251200199127,0.8700000047683716,0.943600693126083,0.537718653678894,0.7099999785423279,0.7977324433110827,5.0625,0.7265625,0.58203125,0.0133056640625
5,sae_input,target,0.3771923780441284,0.8237499594688416,0.9151913232619335,0.6085522174835205,0.6850000023841858,0.7566810129116205,3.578125,0.72265625,0.578125,-0.006317138671875
5,sae_recons,target,0.46357062458992004,0.7718749642372131,0.8629297898006763,0.6540201306343079,0.6499999761581421,0.7139800820738664,3.25,0.72265625,0.578125,-0.006317138671875
5,sae_diff,target,0.3442956507205963,0.8899999856948853,0.9605868455100601,0.5820497274398804,0.7049999833106995,0.7611475327795014,5.21875,0.72265625,0.578125,-0.006317138671875
