Seed,Feature_Type,Label,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_Input_Recons,Cosine_Sim_Input_Diff,Cosine_Sim_Recons_Diff
0,sae_input,target,0.3451625406742096,0.8615000247955322,0.9394011216717871,0.6204484105110168,0.7100000381469727,0.7947177910180023,3.90625,0.703125,0.47265625,-0.11865234375
0,sae_recons,target,0.408268004655838,0.8225000500679016,0.9108657954109064,0.6229218244552612,0.6960000395774841,0.7928678967262476,3.5,0.703125,0.47265625,-0.11865234375
0,sae_diff,target,0.3053261935710907,0.9135000705718994,0.9677509360599077,0.5436007380485535,0.7400000095367432,0.8081395348837209,5.46875,0.703125,0.47265625,-0.11865234375
1,sae_input,target,0.3123641014099121,0.8850000500679016,0.9469440624140433,0.5694218277931213,0.7420000433921814,0.8060939381774388,3.875,0.72265625,0.45703125,-0.1337890625
1,sae_recons,target,0.38694655895233154,0.8280000686645508,0.9140291565602261,0.6303824782371521,0.6880000233650208,0.7778402248093136,3.46875,0.72265625,0.45703125,-0.1337890625
1,sae_diff,target,0.2987522780895233,0.909000039100647,0.9719871971193519,0.5494700074195862,0.734000027179718,0.8048253713368124,5.46875,0.72265625,0.45703125,-0.1337890625
2,sae_input,target,0.31987395882606506,0.8825000524520874,0.9427782711130845,0.5403463840484619,0.7540000081062317,0.8263168842805939,3.828125,0.69921875,0.486328125,-0.12451171875
2,sae_recons,target,0.40870174765586853,0.831000030040741,0.905061120244481,0.5607418417930603,0.7440000176429749,0.8218365975422427,3.40625,0.69921875,0.486328125,-0.12451171875
2,sae_diff,target,0.29407167434692383,0.9235000610351562,0.9704818819275276,0.550552487373352,0.7420000433921814,0.7969230030721965,5.5,0.69921875,0.486328125,-0.12451171875
3,sae_input,target,0.32471174001693726,0.8690000176429749,0.939254612295187,0.5522581934928894,0.7700000405311584,0.8148343904157858,3.859375,0.703125,0.47265625,-0.1337890625
3,sae_recons,target,0.3805135488510132,0.8385000228881836,0.9133274529569892,0.5532981157302856,0.7440000176429749,0.806169517586008,3.375,0.703125,0.47265625,-0.1337890625
3,sae_diff,target,0.3147226870059967,0.8885000348091125,0.9710551475294418,0.5767367482185364,0.7200000286102295,0.7984095714011147,5.5,0.703125,0.47265625,-0.1337890625
4,sae_input,target,0.3589206039905548,0.8495000600814819,0.9368439053513622,0.6848294734954834,0.6960000395774841,0.7673135738418921,3.78125,0.69921875,0.46484375,-0.1416015625
